Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,DEU,23925.85599,23878.36415,25486.5942,30711.10225,34566.73591,35084.43635,36980.33499,42350.92172,46379.1648,42471.88686,42396.9666,47630.97619,44718.01592,47206.83535,48959.59912,41929.75491,42948.93819,45553.93415,48916.16866,47656.19974,47394.87345,52349.246,50506.51796,54776.76682
Ghana,GHA,253.7469362,263.5421565,297.4616447,358.3992714,406.1321053,478.6119092,906.4410276,1050.124615,1182.657613,1047.704301,1263.892518,1507.435732,1543.775242,2294.795847,1949.908329,1722.772828,1912.479913,2012.286626,2195.32166,2186.658227,2195.454817,2445.186625,2229.891226,2383.904105
Greece,GRC,11638.20107,12156.95728,13782.19564,18020.61204,21449.25528,22054.13158,24416.0233,28440.76253,31695.83311,29425.45732,26653.0488,25504.78665,21624.34605,21573.34498,21474.72571,17980.72982,17919.24264,18631.99301,19873.40152,19335.3602,17886.73317,20654.7002,20886.52431,23343.7104
Grenada,GRD,4839.828111,4819.507767,4984.474059,5427.963773,5480.261176,6338.560114,6344.038377,6864.548168,7448.204056,6932.564722,6909.601696,6947.381361,7092.719854,7424.802123,7986.334212,8694.12438,9221.234611,9751.426612,10083.02128,10462.79292,8968.558901,9617.289029,10469.3867,11414.47817
Guatemala,GTM,1648.96579,1537.686636,1669.335175,1722.547019,1840.911849,2046.466117,2225.123475,2458.815739,2763.059882,2611.646328,2805.259602,3168.983706,3286.619593,3444.158023,3689.145104,3893.505333,4060.137847,4324.997689,4352.945933,4511.998396,4477.61785,4912.622404,5358.70157,5758.327608
Guinea,GIN,518.1570669,483.0851202,495.9160736,566.4854059,584.8977405,463.1776869,446.9805541,650.1485753,703.5328258,662.1859147,659.2353262,636.6949587,699.3533772,748.4550208,765.1469994,747.3569668,711.9965098,833.5986217,933.2736156,1031.341465,1053.660977,1244.965505,1416.59612,1555.493758
Guinea-Bissau,GNB,316.945495,327.138432,362.0345746,419.7848661,431.3765577,463.0739627,448.5130755,519.0697898,640.2103311,583.1900201,600.1942985,719.5395735,635.4616533,654.3045344,652.022501,645.0668372,679.6653866,783.1231866,808.5316132,811.2164259,846.9158557,926.7809211,883.1991315,988.0878864
Guyana,GUY,931.7966517,931.5747238,950.8669325,973.7425981,1033.310309,1084.065414,3135.605535,3608.286852,4008.962867,4209.132306,4581.761797,4947.221706,5444.397519,5556.912312,5472.688205,5640.415606,5870.878238,6178.665044,6048.386972,6405.824434,6775.709391,9860.870148,17913.49281,20473.70022
Haiti,HTI,820.6000468,748.8211598,720.969568,578.9952911,683.1852982,775.8457041,828.8057003,984.5669834,1094.660584,1196.852871,1209.727335,1312.039536,1361.393966,1457.832212,1460.188986,1411.126847,1318.402682,1395.239452,1496.38049,1352.172042,1290.325387,1841.331893,1760.626357,1705.758085
Honduras,HND,1092.564007,1132.164875,1132.499653,1156.081627,1215.139954,1304.700392,1425.847801,1577.737892,1732.490627,1781.157036,1893.327227,2073.661211,2126.034747,2081.128435,2179.88172,2271.20266,2307.344684,2413.007656,2464.642415,2502.327443,2307.614943,2735.147515,3003.289968,3227.457625
Hungary,HUN,4629.917608,5280.94888,6658.044943,8410.092482,10291.26947,11212.2047,11478.48916,13934.60546,15762.63225,13051.18318,13189.84339,14211.46056,12950.15945,13739.46202,14352.50188,12782.94126,13215.86053,14736.16682,16605.05705,17012.85986,16386.93088,19030.62813,18428.02883,22230.62779
Iceland,ISL,32503.57896,29208.19819,32749.379,39944.21041,47809.60731,57783.77456,58172.14267,70483.01172,57489.33998,41483.78437,43776.46774,48254.95393,46594.98691,50173.33601,55140.36494,53505.69641,62854.09064,72976.373,75633.86514,69296.31444,60127.93936,70425.40643,76350.45504,82138.7893
India,IND,442.7502189,450.3579005,469.149929,544.1431335,624.2588265,710.4880804,801.6683537,1021.887077,992.5195849,1094.949746,1347.519391,1445.461275,1429.321995,1432.843975,1553.883961,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516,2239.613844,2347.448294,2530.120313
